1, ,Noun,||
153,Agag,Noun,|Agags|
154,Agagite,Noun,|Agagites|
155,age,Noun,|ages|
156,Agee,Noun,|Agees|
157,agreement,Noun,|agreements|
158,Agrippa,Noun,|Agrippas|
159,Agur,Noun,|Agurs|
160,Agus,Noun,|Aguses|
161,Ahab,Noun,|Ahabs|
162,Ahasbai,Noun,|Ahasbais|
163,Ahaz,Noun,|Ahazs|
164,Ahiah,Noun,|Ahiahs|
165,Ahiam,Noun,|Ahiams|
166,Ahijah,Noun,|Ahijahs|
167,Ahilud,Noun,|Ahiluds|
168,Ahimaaz,Noun,|Ahimaazs|
169,Ahiman,Noun,|Ahimans|
170,Ahimelek,Noun,|Ahimeleks|
171,Ahinadab,Noun,|Ahinadabs|
172,Ahinoam,Noun,|Ahinoams|
173,Ahio,Noun,|Ahios|
174,Ahishar,Noun,|Ahishars|
175,Ahithophel,Noun,|Ahithophels|
176,Ahitub,Noun,|Ahitubs|
177,Ahlab,Noun,|Ahlabs|
178,Ahoh,Noun,|Ahohs|
179,Ahohi,Noun,|Ahohis|
180,Ahuzzath,Noun,|Ahuzzaths|
181,Ahzai,Noun,|Ahzais|
182,Ai,Noun,|Ais|
183,Aiah,Noun,|Aiahs|
184,AIDS,Noun,|AIDS|
185,Aija,Noun,|Aijas|
186,Aijalon,Noun,|Aijalons|
187,Ain,Noun,|Ains|
188,air,Noun,|air|
189,Ajani,Noun,|Ajanis|
190,Akan,Noun,|Akans|
191,Akbor,Noun,|Akbors|
192,Akeldama,Noun,|Akeldamas|
193,Akim,Noun,|Akims|
194,Akkad,Noun,|Akkads|
195,Akko,Noun,|Akkos|
196,Akkub,Noun,|Akkubs|
197,Aksah,Noun,|Aksahs|
198,Akshaph,Noun,|Akshaphs|
199,Akzib,Noun,|Akzibs|
200,alabaster,Noun,|alabaster|
201,alcohol,Noun,|alcohol|
202,Alex,Noun,|Alexes|
203,Alexander,Noun,|Alexanders|
204,Alexander the Great,Noun,|Alexanders the Great|
205,Alexandria,Noun,|Alexandrias|
206,Allammelek,Noun,|Allammeleks|
207,Allon Bakuth,Noun,|Allons Bakuth|
208,Almodad,Noun,|Almodads|
209,Almon,Noun,|Almons|
210,almond,Noun,|almonds|
211,aloe,Noun,|aloes|
212,Aloth,Noun,|Aloths|
213,Alphaeus,Noun,|Alphaeuses|
214,altar,Noun,|altars|
215,Alvah,Noun,|Alvahs|
216,Alvan,Noun,|Alvans|
217,Amad,Noun,|Amads|
218,Amalek,Noun,|Amaleks|
219,Amalek,Noun,|Amaleks|
220,Amalekite,Noun,|Amalekites|
221,Amam,Noun,|Amams|
222,Amariah,Noun,|Amariahs|
223,Amasa,Noun,|Amasas|
224,Amashsai,Noun,|Amashsais|
225,Amen,Noun,|Amens|
226,Amittai,Noun,|Amittais|
227,Ammah,Noun,|Ammahs|
228,Ammiel,Noun,|Ammiels|
229,Ammihud,Noun,|Ammihuds|
230,Amminadab,Noun,|Amminadabs|
231,Ammon,Noun,|Ammons|
232,Ammonite,Noun,|Ammonites|
233,Amnon,Noun,|Amnons|
234,Amok,Noun,|Amoks|
235,Amon,Noun,|Amons|
236,Amorite,Noun,|Amorites|
237,Amos,Noun,|Amoses|
238,Amos,Noun,|Amoses|
239,amount,Noun,|amounts|
240,Amphipolis,Noun,|Amphipolises|
241,Amram,Noun,|Amrams|
242,Amraphel,Noun,|Amraphels|
243,Amzi,Noun,|Amzis|
244,Anab,Noun,|Anabs|
245,Anah,Noun,|Anahs|
246,Anah,Noun,|Anahs|
247,Anaharath,Noun,|Anaharaths|
248,Anaiah,Noun,|Anaiahs|
249,Anak,Noun,|Anaks|
250,Anakite,Noun,|Anakites|
251,Anamite,Noun,|Anamites|
252,Anan,Noun,|Anans|
253,Ananiah,Noun,|Ananiahs|
254,Ananiah,Noun,|Ananiahs|
255,Ananias,Noun,|Ananiases|
256,Anath,Noun,|Anaths|
257,Anathoth,Noun,|Anathoths|
258,ancestor,Noun,|ancestors|
259,anchor,Noun,|anchors|
260,Ancient of Days,Noun,|Ancient of Days|
261,Andrew,Noun,|Andrews|
262,Aner,Noun,|Aners|
263,angel,Noun,|angels|
264,anger,Noun,|anger|
265,Anim,Noun,|Anims|
266,animal,Noun,|animals|
267,ankle,Noun,|ankles|
268,Anna,Noun,|Annas|
269,Annas,Noun,|Annases|
270,Anointed One,Noun,|Anointeds One|
271,answer,Noun,|answers|
272,ant,Noun,|ants|
273,antichrist,Noun,|antichrists|
274,Antioch,Noun,|Antioches|
275,Antiochus III the Great,Noun,|Antiochuses|
276,Antiochus II Theos,Noun,|Antiochuses|
277,Antiochus IV Epiphanes,Noun,|Antiochuses|
278,Antiochus the Great,Noun,|Antiochuses|
279,Antiochus Theos,Noun,|Antiochuses|
280,Antipas,Noun,|Antipases|
281,Antipatris,Noun,|Antipatrises|
282,ape,Noun,|apes|
283,Aphek,Noun,|Apheks|
284,Aphekah,Noun,|Aphekahs|
285,Aphekk,Noun,|Aphekks|
286,Aphiah,Noun,|Aphiahs|
287,Apollonia,Noun,|Apollonias|
288,Apollos,Noun,|Apolloses|
289,apostle,Noun,|apostles|
290,Apphia,Noun,|Apphias|
291,Appius,Noun,|Appiuses|
292,apple,Noun,|apples|
293,April,Noun,|Aprils|
294,Aquila,Noun,|Aquilas|
295,Arab,Noun,|Arabs|
296,Arabah,Noun,|Arabahs|
297,Arabia,Noun,|Arabias|
298,Arad,Noun,|Arads|
299,Arah,Noun,|Arahs|
300,Aram,Noun,|Arams|
301,Aram,Noun,|Arams|
302,Aram,Noun,|Arams|
303,Aramaic,Noun,|Aramaics|
304,Aramean,Noun,|Arameans|
305,Aram Naharaim,Noun,|Arams Naharaim|
306,Aran,Noun,|Arans|
307,Ararat,Noun,|Ararats|
308,Araunah,Noun,|Araunahs|
309,Arba,Noun,|Arbas|
310,Arbah,Noun,|Arbahs|
311,Archelaus,Noun,|Archelauses|
312,Archippus,Noun,|Archippuses|
313,Ard,Noun,|Ards|
314,area,Noun,|areas|
315,Areli,Noun,|Arelis|
316,Areopagus,Noun,|Areopagus|
317,Argob,Noun,|Argobs|
318,argument,Noun,|arguments|
319,Aridai,Noun,|Aridais|
320,Aridatha,Noun,|Aridathas|
321,Arimathea,Noun,|Arimatheas|
322,Arioch,Noun,|Arioches|
323,Arisai,Noun,|Arisais|
324,Aristarchus,Noun,|Aristarchuses|
325,ark,Noun,|arks|
326,Arkite,Noun,|Arkites|
327,ark of the covenant,Noun,|arks of the covenant|
328,arm,Noun,|arms|
329,Armageddon,Noun,|Armageddons|
330,Armoni,Noun,|Armonis|
331,armor,Noun,|armor|
332,army,Noun,|armies|
